I, [2016-07-27T16:45:20.938584 #79575]  INFO -- Kitchen: -----> Starting Kitchen (v1.10.2)
E, [2016-07-27T16:45:20.939000 #79575] ERROR -- Kitchen: ------Exception-------
E, [2016-07-27T16:45:20.939085 #79575] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2016-07-27T16:45:20.939110 #79575] ERROR -- Kitchen: Message: Kitchen YAML file /Users/Endymion/VMS/chef_is_fun/cookbooks/holberton-wrapper/recipes/.kitchen.yml does not exist.
E, [2016-07-27T16:45:20.939126 #79575] ERROR -- Kitchen: ----------------------
E, [2016-07-27T16:45:20.939140 #79575] ERROR -- Kitchen: ------Backtrace-------
E, [2016-07-27T16:45:20.939153 #79575] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2016-07-27T16:45:20.939166 #79575] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/config.rb:154:in `data'
E, [2016-07-27T16:45:20.939183 #79575] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/config.rb:133:in `suites'
E, [2016-07-27T16:45:20.939197 #79575] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/config.rb:184:in `filter_instances'
E, [2016-07-27T16:45:20.939210 #79575] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/config.rb:143:in `build_instances'
E, [2016-07-27T16:45:20.939222 #79575] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/config.rb:119:in `instances'
E, [2016-07-27T16:45:20.939235 #79575] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2016-07-27T16:45:20.939248 #79575] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2016-07-27T16:45:20.939260 #79575] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/command/action.rb:38:in `block in call'
E, [2016-07-27T16:45:20.939273 #79575] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.1.0/benchmark.rb:279:in `measure'
E, [2016-07-27T16:45:20.939286 #79575] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/command/action.rb:37:in `call'
E, [2016-07-27T16:45:20.939301 #79575] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/cli.rb:56:in `perform'
E, [2016-07-27T16:45:20.939314 #79575] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/cli.rb:184:in `block (2 levels) in <class:CLI>'
E, [2016-07-27T16:45:20.939327 #79575] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2016-07-27T16:45:20.939363 #79575] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2016-07-27T16:45:20.939376 #79575] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/cli.rb:325:in `invoke_task'
E, [2016-07-27T16:45:20.939388 #79575] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2016-07-27T16:45:20.939401 #79575] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2016-07-27T16:45:20.939413 #79575] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/bin/kitchen:13:in `block in <top (required)>'
E, [2016-07-27T16:45:20.939425 #79575] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/errors.rb:174:in `with_friendly_errors'
E, [2016-07-27T16:45:20.939441 #79575] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/bin/kitchen:13:in `<top (required)>'
E, [2016-07-27T16:45:20.939453 #79575] ERROR -- Kitchen: /usr/local/bin/kitchen:17:in `load'
E, [2016-07-27T16:45:20.939465 #79575] ERROR -- Kitchen: /usr/local/bin/kitchen:17:in `<main>'
E, [2016-07-27T16:45:20.939487 #79575] ERROR -- Kitchen: ----End Backtrace-----
